Audit Id: 1245 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1246 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1247 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:18 PM 
Audit Id: 1248 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: select_out_of_run_out | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1249 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1250 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1251 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1252 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_strike_change_after_out | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1253 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:19 PM 
Audit Id: 1254 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 2 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 24 Jan, 11:20 PM 
Audit Id: 1255 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 24 Jan, 11:20 PM 
Audit Id: 1256 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1257 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 1 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1258 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1259 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1260 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 2 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1261 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1262 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1263 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 3 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1264 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 24 Jan, 11:21 PM 
Audit Id: 1265 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1266 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 4 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1267 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1268 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: wagon_wheel_open | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1269 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 5 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: draw_wagon_wheel | Date & Time: 24 Jan, 11:22 PM 
Audit Id: 1270 | Match Id: 14840969 | Team Id: 8497757 | Inning: 1 | Over: 3 | Ball: 6 | UDID: 6DE29B25-897E-43D5-B3A2-2C0A84EF9452 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 24 Jan, 11:22 PM 
