Audit Id: 25 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 18 Aug, 01:26 PM 
Audit Id: 26 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 01:27 PM 
Audit Id: 27 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_wide_zero | Date & Time: 18 Aug, 01:27 PM 
Audit Id: 28 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_two | Date & Time: 18 Aug, 01:28 PM 
Audit Id: 29 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_two | Date & Time: 18 Aug, 01:29 PM 
Audit Id: 30 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 01:29 PM 
Audit Id: 31 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_legbye | Date & Time: 18 Aug, 01:30 PM 
Audit Id: 32 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:30 PM 
Audit Id: 33 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 01:31 PM 
Audit Id: 34 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:31 PM 
Audit Id: 35 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 2 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 01:31 PM 
Audit Id: 36 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_four | Date & Time: 18 Aug, 01:32 PM 
Audit Id: 37 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:33 PM 
Audit Id: 38 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 01:33 PM 
Audit Id: 39 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: select_out_of_caught_behind | Date & Time: 18 Aug, 01:33 PM 
Audit Id: 40 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_batsman_select | Date & Time: 18 Aug, 01:34 PM 
Audit Id: 41 | Match Id: 12418785 | Team Id: 6798211 | Inning: 1 | Over: 3 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_strike_change_after_out | Date & Time: 18 Aug, 01:34 PM 
